MBARI ID	INST ID	WMO	float type	1st lon	1st lat	1st date	msg dir	NC template	Program	Region	tf Bfile	tf Dead	tf NO3	tf pH	tf Chl	tf OCR	max cycle msg file	max cycle file date	latest cycle msg file	latest cycle file date	max cycle proc	max cycle proc date
ss0001	0001	4903026	SOLO	-122.512	36.762	02/05/2022 03:42	\\seaecho.shore.mbari.org\floats\SIO\ss0001\	1	GO-BGC	NPac	1	0	1	1	1	1	331	06/22/2024 08:43	331	06/22/2024 08:43	331	06/22/2024 15:14
ss0002	0002	5906765	SOLO	-166.522	2.005	03/28/2022 17:31	\\seaecho.shore.mbari.org\floats\SIO\ss0002\	1	GO-BGC	EQPac	1	0	1	1	1	1	126	06/19/2024 10:01	126	06/19/2024 10:01	126	06/19/2024 16:28
ss0003	0003	5906766	SOLO	-167.416	-0.015	03/29/2022 03:46	\\seaecho.shore.mbari.org\floats\SIO\ss0003\	1	GO-BGC	EQPac	1	1	1	1	1	1	18	12/26/2023 13:33	18	12/26/2023 13:33	18	04/05/2022 20:26
ss0004	0004	5906767	SOLO	-168.114	-1.602	03/29/2022 11:39	\\seaecho.shore.mbari.org\floats\SIO\ss0004\	1	GO-BGC	EQPac	1	0	1	1	1	1	101	06/17/2024 05:21	101	06/17/2024 05:21	101	06/17/2024 11:33
ss4003	4003	2903886	SOLO	-119.496	32.272	01/31/2024 21:31	\\seaecho.shore.mbari.org\floats\SIO\ss4003\	2	GO-BGC	NPac	1	0	1	1	1	1	55	06/17/2024 12:01	55	06/17/2024 12:01	54	06/07/2024 12:32
ss4004	4004	2903887	SOLO				\\seaecho.shore.mbari.org\floats\SIO\ss4004\	2	GO-BGC	NPac	1	0	1	1	1	1						
ss4010	4010	1902368	SOLO	-148.003	57.468	05/26/2024 05:27	\\seaecho.shore.mbari.org\floats\SIO\ss4010\	2	GO-BGC	NPac	1	0	1	1	1	1	12	06/18/2024 12:21	12	06/18/2024 12:21	12	06/18/2024 18:50
ss4011	4011	1902369	SOLO	-133.372	45.012	05/09/2024 10:42	\\seaecho.shore.mbari.org\floats\SIO\ss4011\	2	GO-BGC	NPac	1	0	1	1	1	1	22	06/22/2024 22:21	22	06/22/2024 22:21	21	06/13/2024 13:22
ss4012	4012	1902370	SOLO				\\seaecho.shore.mbari.org\floats\SIO\ss4012\	2	GO-BGC	NPac	1	0	1	1	1	1						
ss4013	4013	1902371	SOLO	-142.958	51.955	05/11/2024 02:37	\\seaecho.shore.mbari.org\floats\SIO\ss4013\	2	GO-BGC	NPac	1	0	1	1	1	1	27	06/22/2024 23:01	27	06/22/2024 23:01	26	06/13/2024 14:01
ss4016	4016	1902374	SOLO	-157.201	54.335	05/30/2024 03:15	\\seaecho.shore.mbari.org\floats\SIO\ss4016\	2	GO-BGC	NPac	1	0	1	1	1	1	10	06/15/2024 08:01	10	06/15/2024 08:01	10	06/15/2024 14:23
ss4017	4017	1902666	SOLO	-145.774	55.005	06/11/2024 19:21	\\seaecho.shore.mbari.org\floats\SIO\ss4017\	2	GO-BGC	NPac	1	0	1	1	1	1	9	06/14/2024 02:21	9	06/14/2024 02:21	9	06/14/2024 08:54
un0037	0037	5904475	NAVIS	11.352	-39.254	12/05/2014 22:05	\\seaecho.shore.mbari.org\floats\UW\n0037\	2	SOCCOM	SO	1	1	1	0	1	0	224	03/17/2020 13:39	224	03/17/2020 13:39	224	03/17/2020 18:46
un0063	0063	2903863	NAVIS	-156.404	19.492	01/15/2024 06:53	\\seaecho.shore.mbari.org\floats\UW\n0063\	0	GO-BGC	NPac	1	0	1	1	1	1	64	06/18/2024 20:54	64	06/18/2024 20:54	64	06/19/2024 03:06
ua0068	0068	5903717	APEX	171.832	-65.027	02/19/2012 08:08	\\seaecho.shore.mbari.org\floats\UW\f0068\	5	UW	SO	1	1	1	0	1	0	341	02/07/2018 11:13	341	02/07/2018 11:13	341	02/07/2018 18:50
ua0069	0069	5903890	APEX	-64.095	31.681	11/30/2012 16:16	\\seaecho.shore.mbari.org\floats\UW\f0069\	7	UW	NAtl	1	1	1	0	0	0	173	05/07/2015 00:36	173	05/07/2015 00:36	173	05/07/2015 07:15
un0276	0276	5904479	NAVIS	-34.983	52.823	02/10/2014 07:49	\\seaecho.shore.mbari.org\floats\UW\n0276\	2	UW	NAtl	1	1	1	0	1	0	197	12/27/2017 21:44	197	12/27/2017 21:44	197	12/17/2017 22:07
un0412	0412	NO_WMO_un0412	NAVIS	-157.990	22.748	11/03/2014 19:51	\\seaecho.shore.mbari.org\floats\duplicate\UW\n0412\	5	UW	NPac	0	1	0	1	1	0	117	03/30/2015 20:57	117	03/30/2015 20:57	117	03/31/2015 03:36
un0506	0506	5904670	NAVIS	93.642	-62.984	01/24/2016 08:43	\\seaecho.shore.mbari.org\floats\UW\n0506\	1	SOCCOM	SO	1	1	1	1	1	0	44	03/29/2017 01:38	44	03/29/2017 01:38	44	03/29/2017 08:00
un0507	0507	5904671	NAVIS	74.173	-61.813	02/15/2016 16:08	\\seaecho.shore.mbari.org\floats\UW\n0507\	1	SOCCOM	SO	1	1	1	1	1	0	182	01/20/2021 20:20	177	05/30/2021 05:07	182	01/21/2021 03:54
un0508	0508	5904476	NAVIS	2.950	-49.056	12/09/2014 14:52	\\seaecho.shore.mbari.org\floats\UW\n0508\	1	SOCCOM	SO	1	1	1	1	1	0	55	02/11/2017 09:20	55	02/11/2017 09:20	55	03/02/2016 19:34
